Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;IN;2013;p66p100;216450.183052;314268.076667;3.59374880791;3.59374880791;87448.5390625;0.7645411491;0.7645411491;60229.6367188
;IN;2013;p67p100;221169.934443;321120.772151;3.60188627243;3.60188627243;89153.5;0.7582353354;0.7582353354;61403.9179688
;IN;2013;p68p100;226146.785441;328346.755371;3.60858917236;3.60858893394;90990.34375;0.7518035769;0.7518035769;62669.03125
;IN;2013;p69p100;231403.025562;335978.388896;3.61735248566;3.61735248566;92879.640625;0.7452375293;0.7452375293;63970.2734375
;IN;2013;p70p100;236965.197616;344054.210727;3.62410497665;3.62410521507;94934.9375;0.7385328412;0.7385328412;65385.8515625
;IN;2013;p71p100;242860.834624;352614.196572;3.63640928268;3.63640928268;96967.6875;0.731677115;0.731677115;66785.890625
;IN;2013;p72p100;249126.423131;361711.321932;3.63888859749;3.63888883591;99401.5859375;0.7246725559;0.7246725559;68462.2265625
;IN;2013;p73p100;255793.655253;371391.601182;3.63506960869;3.63506960869;102169.046875;0.7174927592;0.7174927592;70368.296875
;IN;2013;p74p100;262900.246297;381709.793883;3.65585589409;3.65585565567;104410.523438;0.7101144195;0.7101144195;71912.09375
;IN;2013;p75p100;270513.194016;392763.17533;3.67427015305;3.67427015305;106895.5625;0.7025746107;0.7025746107;73623.65625
;IN;2013;p76p100;278688.095301;404632.467689;3.69096422195;3.69096446037;109627.84375;0.6948541403;0.6948541403;75505.5
;IN;2013;p77p100;287489.517596;417411.417642;3.70774817467;3.70774817467;112578.148438;0.6869321465;0.6869321465;77537.5
;IN;2013;p78p100;296994.706731;431212.179857;3.73159861565;3.73159861565;115556.953125;0.6787899137;0.6787899137;79589.1328125
;IN;2013;p79p100;307302.807454;446178.704453;3.71305179596;3.71305179596;120164.953125;0.6704244018;0.6704244018;82762.8671875
;IN;2013;p80p100;318478.48885;462404.885684;3.7475104332;3.7475104332;123389.882812;0.6617197394;0.6617197394;84984.015625
;IN;2013;p81p100;330712.336857;480167.438845;3.77188205719;3.77188229561;127301.8125;0.6527817249;0.6527817249;87678.3359375
;IN;2013;p82p100;344153.236742;499682.533247;3.76582527161;3.76582527161;132688.71875;0.643558979;0.643558979;91388.53125
;IN;2013;p83p100;358950.478627;521166.926015;3.81108832359;3.81108832359;136750.15625;0.6339389682;0.6339389682;94185.8203125
;IN;2013;p84p100;375413.52752;545069.935191;3.84389567375;3.84389567375;141801.4375;0.6240133643;0.6240133643;97664.859375
;IN;2013;p85p100;393828.612784;571807.142552;3.83601284027;3.83601307869;149062.875;0.6137090325;0.6137090325;102666.132812
;IN;2013;p86p100;414507.066155;601830.576479;3.88287448883;3.88287448883;154996.140625;0.6028704047;0.6028704047;106752.632812
;IN;2013;p87p100;438045.966257;636007.146614;3.93613290787;3.93613314629;161581.71875;0.5915984511;0.5915984511;111288.40625
;IN;2013;p88p100;465120.358503;675316.964042;4.00663042068;4.00663042068;168549.84375;0.5798432231;0.5798432231;116087.65625
;IN;2013;p89p100;496656.340307;721104.646952;4.05520296097;4.05520296097;177822.078125;0.5675611496;0.5675611496;122473.851562
;IN;2013;p91p100;576717.232967;837346.557204;3.59019160271;3.59019184113;233231.703125;0.539224267;0.539224267;160636.890625
;IN;2013;p92p100;626762.813989;910008.674056;3.22198176384;3.22198200226;282437.53125;0.5209034085;0.5209034085;194527.109375
;IN;2013;p93p100;685340.622561;995058.891965;2.82604670525;2.82604694366;352102.75;0.4983890653;0.4983890653;242508.59375
;IN;2013;p94p100;754019.423354;1094774.92976;2.44005274773;2.44005250931;448668.59375;0.4699999094;0.4699999094;309017.6875
;IN;2013;p95p100;838746.383048;1217791.59017;2.38303804398;2.38303804398;511024.8125;0.4356770217;0.4356770217;351965.15625
;IN;2013;p96p100;953072.871592;1383784.36116;2.3412001133;2.3412001133;591057.6875;0.3960500658;0.3960500658;407087.3125
;IN;2013;p97p100;1121192.91417;1627881.00126;2.23135852814;2.23135852814;729547.0;0.349434346;0.349434346;502470.96875
;IN;2013;p98p100;1401264.01288;2034521.47751;2.29031944275;2.29031944275;888313.375;0.2911480963;0.2911480963;611820.3125
;IN;2013;p0p90;47640.6790184;69170.3945687;;;2.10475235331e-12;0.4454351068;0.4454351068;1.44963500839e-12
;IN;2013;p0p99;76116.2212778;110514.567956;;;2.10475235331e-12;0.782846123;0.782846123;1.44963500839e-12
;IN;2013;p99.1p100;2220383.13634;3223815.8817;2.34689569473;2.34689593315;1373651.0;0.2076033801;0.2076033801;946093.625
;IN;2013;p99.1p99.2;975020.269282;1415650.19912;;;1373651.0;0.010129258;0.010129258;946093.625
;IN;2013;p99.2p100;2376053.49472;3449836.59202;2.36356186867;2.36356163025;1459592.375;0.197474122;0.197474122;1005285.125
;IN;2013;p99.2p99.3;1038949.3937;1508470.09278;;;1459592.375;0.0107934028;0.0107934028;1005285.125
;IN;2013;p99.3p100;2567068.3663;3727174.66334;2.38849639893;2.38849616051;1560469.125;0.1866807193;0.1866807193;1074763.375
;IN;2013;p99.3p99.4;1116124.7704;1620522.46834;;;1560469.125;0.0115951598;0.0115951598;1074763.375
;IN;2013;p99.4p100;2808892.29895;4078283.36251;2.41928362846;2.41928362846;1685740.125;0.1750855595;0.1750855595;1161043.0
;IN;2013;p99.4p99.5;1215303.12597;1764521.38122;;;1685740.125;0.0126255006;0.0126255006;1161043.0
;IN;2013;p99.5p100;3127610.13355;4541035.75877;2.45178103447;2.45178103447;1852137.625;0.1624600589;0.1624600589;1275648.25
;IN;2013;p99.5p99.6;1352235.09347;1963335.47071;;;1852137.625;0.0140480548;0.0140480548;1275648.25
;IN;2013;p99.6p100;3571453.89356;5185460.83078;2.48099637032;2.48099637032;2090071.875;0.1484120041;0.1484120041;1439524.0
;IN;2013;p99.6p99.7;1555263.49316;2258116.2086;;;2090071.875;0.0161572695;0.0161572695;1439524.0
;IN;2013;p99.7p100;4243517.36036;6161242.37151;2.51131057739;2.51131057739;2453397.25;0.1322547346;0.1322547346;1689762.125
;IN;2013;p99.7p99.8;1887418.10996;2740377.72072;;;2453397.25;0.0196079463;0.0196079463;1689762.125
;IN;2013;p99.8p100;5421566.98557;7871674.69691;2.53973126411;2.53973126411;3099412.5;0.1126467884;0.1126467884;2134701.0
;IN;2013;p99.8p99.9;2552912.83651;3706621.9844;;;3099412.5;0.0265216157;0.0265216157;2134701.0
;IN;2013;p99.91p100;8853173.30974;12854088.2212;2.66829824448;2.66829800606;4817336.0;0.0827761963;0.0827761963;3317910.0
;IN;2013;p99.91p99.92;3423342.21823;4970414.71401;;;4817336.0;0.0035564303;0.0035564303;3317910.0
;IN;2013;p99.92p100;9531902.19618;13839547.4096;2.69642210007;2.69642210007;5132559.5;0.079219766;0.079219766;3535018.5
;IN;2013;p99.92p99.93;3661279.90735;5315880.90338;;;5132559.5;0.0038036183;0.0038036183;3535018.5
;IN;2013;p99.93p100;10370562.5232;15057214.0533;2.73173427582;2.73173427582;5511961.5;0.0754161477;0.0754161477;3796329.25
;IN;2013;p99.93p99.94;3954368.47899;5741421.6925;;;5511961.5;0.0041081011;0.0041081011;3796329.25
;IN;2013;p99.94p100;11439928.1972;16609846.1135;2.77131128311;2.77131104469;5993497.5;0.0713080466;0.0713080466;4127984.0
;IN;2013;p99.94p99.95;4343730.84087;6306744.20168;;;5993497.5;0.0045126006;0.0045126006;4127984.0
;IN;2013;p99.95p100;12859167.6684;18670466.4958;2.80423069;2.80423069;6657964.0;0.066795446;0.066795446;4585631.0
;IN;2013;p99.95p99.96;4892772.57847;7103908.18857;;;6657964.0;0.0050829872;0.0050829872;4585631.0
;IN;2013;p99.96p100;14850766.4409;21562106.0727;2.83357143402;2.83357167244;7609515.0;0.0617124587;0.0617124587;5241006.5
;IN;2013;p99.96p99.97;5698914.96463;8274361.42471;;;7609515.0;0.0059204698;0.0059204698;5241006.5
;IN;2013;p99.97p100;17901383.5997;25991354.2886;2.87256813049;2.87256836891;9048124.0;0.055791989;0.055791989;6231839.5
;IN;2013;p99.97p99.98;7000533.16621;10164205.2816;;;9048124.0;0.0072726905;0.0072726905;6231839.5
;IN;2013;p99.98p100;23351808.8165;33904928.7922;2.93098664284;2.93098688126;11567752.0;0.0485192984;0.0485192984;7967217.5
;IN;2013;p99.98p99.99;9781977.20322;14202635.9983;;;11567752.0;0.0101622678;0.0101622678;7967217.5
;IN;2013;p99.991p100;39600361.6649;57496507.1419;2.99198436737;2.99198460579;19216846.0;0.0370259024;0.0370259024;13235484.0
;IN;2013;p99.991p99.992;13705783.2003;19899683.4506;;;19216846.0;0.0014238618;0.0014238618;13235484.0
;IN;2013;p99.992p100;42837183.973;62196110.1033;3.01584386826;3.01584386826;20623120.0;0.0356020406;0.0356020406;14204046.0
;IN;2013;p99.992p99.993;14769463.7128;21444061.1182;;;20623120.0;0.0015343651;0.0015343651;14204046.0
;IN;2013;p99.993p100;46846858.2958;68017831.3869;3.04681324959;3.04681324959;22324254.0;0.0340676755;0.0340676755;15375691.0
;IN;2013;p99.993p99.994;16085231.8092;23354449.4725;;;22324254.0;0.0016710572;0.0016710572;15375691.0
;IN;2013;p99.994p100;51973796.0436;75461728.3726;3.0825343132;3.08253407478;24480420.0;0.0323966183;0.0323966183;16860736.0
;IN;2013;p99.994p99.995;17804644.84;25850897.4706;;;24480420.0;0.001849683;0.001849683;16860736.0
;IN;2013;p99.995p100;58807626.2844;85383894.553;3.11909818649;3.11909818649;27374546.0;0.0305469353;0.0305469353;18854048.0
;IN;2013;p99.995p99.996;20176706.5296;29294938.286;;;27374546.0;0.002096111;0.002096111;18854048.0
;IN;2013;p99.996p100;68465356.223;99406133.6198;3.15836668015;3.15836668015;31473906.0;0.0284508243;0.0284508243;21677456.0
;IN;2013;p99.996p99.997;23668549.8732;34364811.0676;;;31473906.0;0.0024588704;0.0024588704;21677456.0
;IN;2013;p99.997p100;83397625.0063;121086574.47;3.20752811432;3.20752811432;37750744.0;0.0259919539;0.0259919539;26000590.0
;IN;2013;p99.997p99.998;29373044.472;42647273.6677;;;37750744.0;0.003051497;0.003051497;26000590.0
;IN;2013;p99.998p100;110409915.273;160306224.872;3.29040646553;3.29040622711;48719280.0;0.0229404569;0.0229404569;33555100.0
;IN;2013;p99.998p99.999;40808945.7224;59251272.9817;;;48719280.0;0.0042395461;0.0042395461;33555100.0
;IN;2013;p99.99p99.991;12813149.3131;18603651.5834;;;18020588.0;0.0013311282;0.0013311282;12411568.0
;IN;2013;p99.9p99.91;3223651.55856;4680480.10339;;;4550856.5;0.0033489764;0.0033489764;3134374.0
;IN;2013;p99p99.1;919309.988994;1334763.39926;;;1297118.875;0.0095504969;0.0095504969;893382.5625
;IN;2012;p0p100;92176.6471029;134295.20098;6.63375995428e+16;6.63375995428e+16;2.02442056174e-12;1.0;1.0;1.38950830009e-12
;IN;2012;p0p50;27506.1089608;40074.5584393;;;2.02442056174e-12;0.1492032409;0.1492032409;1.38950830009e-12
;IN;2012;p50p90;68362.8941295;99600.1579058;;;62792.6601562;0.2966603637;0.2966603637;43099.2109375
;IN;2012;p90p99;347503.575359;506289.434046;;;189704.78125;0.3392980099;0.3392980099;130208.304688
;IN;2012;p99p100;1980308.4799;2885176.81722;2.30018091202;2.30018091202;1254326.0;0.2148384154;0.2148384154;860935.9375
;IN;2012;p99.9p100;7633029.29722;11120812.4375;2.54990148544;2.54990148544;4361271.5;0.0828087106;0.0828087106;2993460.5
;IN;2012;p99.99p100;32064273.9318;46715499.5031;2.62225985527;2.62225961685;17814978.0;0.0347856805;0.0347856805;12227726.0
;IN;2012;p99.999p100;128696696.909;187502467.49;2.46129179001;2.46129179001;76180512.0;0.0139619634;0.0139619634;52288272.0
;IN;2012;p0p10;13748.6316846;20030.8355023;;;2.02442056174e-12;0.0149155259;0.0149155259;1.38950830009e-12
;IN;2012;p10p20;22334.4596289;32539.8117517;;;27945.4433594;0.024230063;0.024230063;19181.0078125
;IN;2012;p20p30;28138.1567024;40995.4096652;;;37064.59375;0.03052634;0.03052634;25440.1484375
;IN;2012;p30p40;33620.3906904;48982.6573941;;;45075.7382812;0.0364738703;0.0364738703;30938.7871094
;IN;2012;p40p50;39688.9060979;57824.077883;;;53171.5585938;0.0430574417;0.0430574417;36495.5390625
;IN;2012;p50p60;47006.627825;68485.5083097;;;62792.6601562;0.050996244;0.050996244;43099.2109375
;IN;2012;p60p70;56706.341019;82617.3407616;;;75033.4375;0.0615192056;0.0615192056;51500.953125
;IN;2012;p70p80;70871.8692842;103255.566659;;;91311.578125;0.0768870115;0.0768870115;62673.8320312
;IN;2012;p80p90;98866.7383901;144042.215893;;;118680.484375;0.1072579026;0.1072579026;81459.125
;IN;2012;p90p100;510784.349707;744178.585977;3.9228246212;3.9228246212;189704.78125;0.5541363955;0.5541363955;130208.304688
;IN;2012;p0p1;6520.46470533;9499.88034502;;;2.02442056174e-12;0.0007073879;0.0007073879;1.38950830009e-12
;IN;2012;p1p2;8535.7212388;12435.9741355;;;11540.7880859;0.0009260178;0.0009260178;7921.28955078
;IN;2012;p2p3;10662.5091453;15534.5616663;;;14900.4365234;0.0011567473;0.0011567473;10227.2626953
;IN;2012;p3p4;12557.4436556;18295.3543281;;;17772.6171875;0.0013623238;0.0013623238;12198.6503906
;IN;2012;p4p5;13957.3546827;20334.9309306;;;19848.296875;0.0015141964;0.0015141964;13623.3427734
;IN;2012;p5p6;15208.3740738;22157.5823922;;;21680.9824219;0.0016499162;0.0016499162;14881.2490234
;IN;2012;p6p7;16289.6240351;23732.8911653;;;23300.1230469;0.0017672181;0.0017672181;15992.5830078
;IN;2012;p7p8;17111.5498186;24930.3819806;;;24547.9296875;0.0018563867;0.0018563867;16849.0449219
;IN;2012;p8p9;17950.5074867;26152.6871109;;;25791.6894531;0.001947403;0.001947403;17702.7285156
;IN;2012;p9p10;18692.7680038;27234.1109689;;;26882.1835938;0.0020279288;0.0020279288;18451.2148438
;IN;2012;p10p11;19417.4472208;28289.92005;;;27945.4433594;0.0021065474;0.0021065474;19181.0078125
;IN;2012;p11p12;20099.2720185;29283.2931127;;;28947.1210938;0.0021805167;0.0021805167;19868.5332031
;IN;2012;p12p13;20784.39331;30281.4689461;;;29955.4023438;0.0022548437;0.0022548437;20560.5898438
;IN;2012;p13p14;21431.604923;31224.412917;;;30907.375;0.002325058;0.002325058;21213.9980469
;IN;2012;p14p15;22047.499845;32121.7305667;;;31807.9394531;0.0023918748;0.0023918748;21832.1230469
;IN;2012;p15p16;22657.3511951;33010.2431369;;;32688.5371094;0.0024580359;0.0024580359;22436.5410156
;IN;2012;p16p17;23290.8274173;33933.1755634;;;33583.4960938;0.0025267601;0.0025267601;23050.8183594
;IN;2012;p17p18;23945.7308491;34887.3259991;;;34535.2421875;0.0025978088;0.0025978088;23704.0703125
;IN;2012;p18p19;24552.8351211;35771.8362604;;;35441.3125;0.002663672;0.002663672;24325.9726562
;IN;2012;p19p20;25117.6343894;36594.7109651;;;36281.3945312;0.0027249455;0.0027249455;24902.5820312
;IN;2012;p20p21;25658.8087857;37383.1658134;;;37064.59375;0.0027836561;0.0027836561;25440.1484375
;IN;2012;p21p22;26242.2881855;38233.2562184;;;37915.9726562;0.0028469563;0.0028469563;26024.5117188
;IN;2012;p22p23;26799.9450507;39045.7249199;;;38736.890625;0.002907455;0.002907455;26587.9707031
;IN;2012;p23p24;27346.0641876;39841.3839242;;;39533.1445312;0.002966702;0.002966702;27134.4980469
;IN;2012;p24p25;27902.0728059;40651.4512405;;;40321.046875;0.0030270219;0.0030270219;27675.2929688
;IN;2012;p25p26;28434.4565521;41427.0987004;;;41102.1640625;0.0030847788;0.0030847788;28211.4296875
;IN;2012;p26p27;28984.4215984;42228.3609371;;;41930.484375;0.003144443;0.003144443;28779.9667969
;IN;2012;p27p28;29433.8435843;42883.138669;;;42596.6953125;0.0031931996;0.0031931996;29237.2363281
;IN;2012;p28p29;29993.698112;43698.8092177;;;43372.7421875;0.0032539368;0.0032539368;29769.8945312
;IN;2012;p29p30;30585.9681619;44561.7070111;;;44211.546875;0.0033181906;0.0033181906;30345.6269531
;IN;2012;p30p31;31170.546393;45413.3983396;;;45075.7382812;0.0033816099;0.0033816099;30938.7871094
;IN;2012;p31p32;31722.1596863;46217.0619616;;;45900.6992188;0.003441453;0.003441453;31505.0175781
;IN;2012;p32p33;32260.0375887;47000.7140393;;;46692.6015625;0.0034998059;0.0034998059;32048.5566406
;IN;2012;p33p34;32794.0695818;47778.7628846;;;47468.4375;0.0035577416;0.0035577416;32581.0703125
;IN;2012;p34p35;33287.9942338;48498.3780202;;;48182.3632812;0.0036113262;0.0036113262;33071.0898438
;IN;2012;p35p36;33830.2674613;49288.4337921;;;48957.5039062;0.003670156;0.003670156;33603.125
;IN;2012;p36p37;34414.2962768;50139.3246589;;;49779.1875;0.0037335157;0.0037335157;34167.109375
;IN;2012;p37p38;34996.6768453;50987.8141403;;;50630.421875;0.0037966967;0.0037966967;34751.3710938
;IN;2012;p38p39;35593.3422203;51857.1156279;;;51520.7109375;0.0038614273;0.0038614273;35362.4414062
;IN;2012;p39p40;36134.5166165;52645.5704762;;;52328.59375;0.0039201379;0.0039201379;35916.953125
;IN;2012;p40p41;36724.5890039;53505.2664225;;;53171.5585938;0.0039841533;0.0039841533;36495.5390625
;IN;2012;p41p42;37330.045029;54387.3752985;;;54028.6914062;0.0040498376;0.0040498376;37083.8515625
;IN;2012;p42p43;37947.0387823;55286.2938718;;;54905.7421875;0.0041167736;0.0041167736;37685.8359375
;IN;2012;p43p44;38660.7296866;56326.0937174;;;55923.5039062;0.0041942;0.0041942;38384.4023438
;IN;2012;p44p45;39368.9264346;57357.8889453;;;56937.75;0.0042710304;0.0042710304;39080.5546875
;IN;2012;p45p46;40079.8702607;58393.6864821;;;57982.1835938;0.0043481588;0.0043481588;39797.4257812
;IN;2012;p46p47;40759.4973959;59383.8576977;;;58997.2578125;0.0044218898;0.0044218898;40494.1445312
;IN;2012;p47p48;41333.63673;60220.3402525;;;59842.7382812;0.0044841766;0.0044841766;41074.4609375
;IN;2012;p48p49;42004.4732151;61197.7040797;;;60784.859375;0.0045569539;0.0045569539;41721.1054688
;IN;2012;p49p50;42680.2544409;62182.2720629;;;61745.5234375;0.0046302676;0.0046302676;42380.4804688
;IN;2012;p50p51;43397.241839;63226.8746792;;;62792.6601562;0.0047080517;0.0047080517;43099.2109375
;IN;2012;p51p52;44151.0400843;64325.1082344;;;63888.6523438;0.0047898293;0.0047898293;43851.46875
