Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2002;p55p100;248828.505404;299573.930388;127153.251482;173307.358356;3.7653553486;3.8765075207;5.8529100418;3.1372284889;55242.1875;0.8629012354;0.8698135306;0.9183660071;0.8414779559;66083.671875;77279.3359375;21724.7910156
;TH;2002;p56p100;252960.568712;304600.896146;129544.357335;175971.428605;3.7216370106;3.8308303356;5.8452296257;3.0908312798;56933.3671875;0.8577366187;0.8647557954;0.9148438935;0.8354261464;67970.2421875;79513.0234375;22162.40625
;TH;2002;p57p100;257239.656156;309808.483724;132036.5082;178720.165773;3.6765546799;3.7848649025;5.8409295082;3.0489573479;58616.8125;0.852422338;0.8595504852;0.9112515969;0.829192263;69967.5859375;81854.5703125;22605.3925781
;TH;2002;p58p100;261673.697023;315206.990569;134636.308216;181559.761815;3.6309189796;3.738847971;5.8291983604;3.0110116005;60298.59375;0.846950067;0.8541905432;0.9075849826;0.8227769599;72068.171875;84305.9140625;23096.8828125
;TH;2002;p59p100;266271.745075;320807.760113;137349.767267;184496.644947;3.5861465931;3.6933317184;5.7963461876;2.9755752087;62003.6914062;0.8413125885;0.8486690217;0.9038317657;0.8161792637;74250.1015625;86861.34375;23695.921875
;TH;2002;p60p100;271044.531473;326623.534397;140181.77937;187536.964238;3.5443322659;3.6492230892;5.7260112762;2.9402806759;63781.9921875;0.8355050646;0.8429796553;0.8999686388;0.8093942222;76472.6640625;89504.953125;24481.5761719
;TH;2002;p61p100;276005.129657;332668.905375;143135.639162;190685.987969;3.5076346397;3.6076469421;5.6085681915;2.9028329849;65689.6171875;0.8295263896;0.8371175448;0.8959591414;0.8024105226;78686.96875;92212.15625;25520.8886719
;TH;2002;p62p100;281168.710143;338960.557153;146214.888989;193949.050275;3.4759242535;3.569242239;5.4657683372;2.8646821976;67703.515625;0.8233775685;0.8310791549;0.8917662085;0.7952148488;80890.34375;94967.09375;26751.0214844
;TH;2002;p63p100;286551.862174;345517.321733;149425.862753;197333.141125;3.4484772682;3.5343871117;5.3225402832;2.8280010223;69778.3125;0.8170589756;0.8248617718;0.8873670786;0.7877981925;83095.1875;97758.765625;28074.1621094
;TH;2002;p64p100;292172.652008;352360.395219;152778.275949;200847.26131;3.4246141911;3.5033257008;5.1972117424;2.7945559025;71870.90625;0.8105699689;0.8184633129;0.8827544628;0.7801563396;85315.4921875;100578.828125;29396.2011719
;TH;2002;p65p100;298050.788122;359513.577903;156285.51769;204502.607505;3.4036946297;3.4761412144;5.1018576622;2.7656707764;73943.21875;0.8039087671;0.811882106;0.8779354714;0.7722894839;87566.84375;103423.179688;30633.0625
;TH;2002;p66p100;304207.814713;367003.504857;159964.772794;208312.695845;3.3851084709;3.452722311;5.043097496;2.7421867847;75965.90625;0.7970723233;0.805116555;0.8729293319;0.7642014956;89866.4921875;106293.953125;31719.5488281
;TH;2002;p67p100;310667.341039;374859.846799;163836.849709;212293.376328;3.3682796955;3.4327111244;5.0223503113;2.724386692;77923.3671875;0.7900562013;0.7981646535;0.867763432;0.7558987218;92233.234375;109202.273438;32621.5507812
;TH;2002;p68p100;317455.316934;383115.449694;167925.526773;216462.666529;3.3526704311;3.4154326916;5.0348200798;2.7118651867;79820.5859375;0.7828544591;0.7910232931;0.8624670535;0.7473881528;94687.3046875;112171.867188;33352.8359375
;TH;2002;p69p100;324600.368699;391806.364639;172256.133254;220840.297669;3.337790966;3.3997988701;5.0666236877;2.7033202648;81692.2421875;0.7754595497;0.7836872991;0.8570619293;0.7386747343;97250.0625;115243.984375;33998.2109375
;TH;2002;p70p100;332134.215259;400971.694373;176852.936172;225446.813464;3.3232197762;3.3841855526;5.0899572372;2.696243763;83615.1484375;0.7678622517;0.7761480997;0.851548416;0.7297575266;99943.5;118483.953125;34745.4648438
;TH;2002;p71p100;340092.248767;410653.348858;181735.456876;230302.251834;3.3088395596;3.3669514656;5.0710201263;2.687523365;85693.1171875;0.7600517752;0.7683922833;0.8458892022;0.7206251404;102782.9375;121965.921875;35838.046875
;TH;2002;p72p100;348514.839135;420897.73628;186921.334078;235427.068964;3.2954080105;3.3485627174;5.0147609711;2.6767733097;87951.8125;0.7520171617;0.7604037489;0.840025983;0.7112588022;105757.71875;125695.046875;37274.2265625
;TH;2002;p73p100;357448.87348;431758.493098;192433.086158;240844.483202;3.2837679386;3.3299942017;4.9380335808;2.664431572;90392.4453125;0.7437485686;0.7521670102;0.8339102756;0.7016389564;108853.265625;129657.429688;38969.578125
;TH;2002;p74p100;366948.914033;443297.97991;198300.082125;246581.212904;3.274553299;3.312076807;4.8563628197;2.6509068012;93017.6875;0.7352370786;0.7436673733;0.8275077279;0.6917458453;112060.757812;133842.90625;40833.046875
;TH;2002;p75p100;377078.4176;455588.805876;204560.085676;252668.09677;3.2680954933;3.2954249382;4.7825689316;2.6365506649;95832.828125;0.7264740916;0.7348905814;0.820798817;0.6815592945;115381.703125;138248.875;42772.0117188
;TH;2002;p76p100;387911.025379;468715.536153;211260.900735;259140.81037;3.2642886639;3.2803432941;4.7260718346;2.6216230392;98847.4765625;0.717450283;0.7258221521;0.8137784502;0.6710583447;118834.78125;142886.125;44701.1601562
;TH;2002;p77p100;399531.823776;482776.530798;218461.942507;266040.677172;3.262389183;3.2666914463;4.6923336983;2.6062450409;102078.148438;0.7081539139;0.7164462497;0.8064537082;0.6602206557;122466.023438;147787.609375;46557.2070312
;TH;2002;p78p100;412038.379284;497885.789348;226235.377172;273415.556216;3.2607250214;3.2536923885;4.6817650795;2.590337038;105552.117188;0.6985681761;0.7067438527;0.7988385506;0.6490215665;126364.039062;153021.78125;48322.6679688
;TH;2002;p79p100;425541.177632;514174.538666;234666.142537;281320.757115;3.2562925816;3.2396552563;4.6873383522;2.5735290051;109313.226562;0.6886670938;0.6966898603;0.790943653;0.6374326419;130682.726562;158712.734375;50063.8359375
;TH;2002;p80p100;440162.792395;531792.053369;243849.558109;289819.873869;3.2442326546;3.2216062546;4.6902089119;2.5550436974;113430.492188;0.6784092642;0.686248593;0.7827584864;0.6254194535;135675.46875;165070.46875;51991.1914062
;TH;2002;p81p100;456035.742042;550905.662717;253885.582667;298985.517843;3.2193348408;3.1961407661;4.6634483337;2.5338697433;117995.609375;0.6677300618;0.6753679786;0.7742254739;0.612938612;141655.265625;172365.890625;54441.5976562
;TH;2002;p82p100;473310.586386;571709.019841;264883.320603;308901.957966;3.1830120087;3.1638200283;4.6053547859;2.5098872185;123074.039062;0.6565490381;0.6639833318;0.7652492867;0.5999380306;148698.96875;180702.125;57516.3789062
;TH;2002;p83p100;492172.263541;594437.629448;276975.338013;319669.71163;3.138846159;3.1264894009;4.523627758;2.4833004475;128727.757812;0.644784372;0.6520258936;0.7557285662;0.5863590569;156800.375;190129.421875;61228.5859375
;TH;2002;p84p100;512852.654727;619382.584589;290326.772141;331410.271395;3.0905230045;3.0860557556;4.4268445969;2.4543821812;135027.984375;0.6323551161;0.6394235107;0.745560489;0.5721358665;165943.640625;200703.625;65583.234375
;TH;2002;p85p100;535646.674323;646908.483186;305146.743762;344272.426842;3.0415356159;3.0443556309;4.3235974312;2.423484087;142056.8125;0.6191817081;0.6261000426;0.7346421041;0.5571943795;176110.609375;212494.390625;70577.046875
;TH;2002;p86p100;560934.365091;677478.161794;321704.575399;358441.168819;2.9948477745;3.0029780865;4.2217555046;2.3910553455;149909.1875;0.6051855212;0.6119739899;0.7228714783;0.5414509842;187299.796875;225602.09375;76201.609375
;TH;2002;p87p100;589210.930714;711686.95824;340352.990239;374150.540545;2.9524190426;2.9629943371;4.1277732849;2.3576683998;158695.15625;0.5902861499;0.596955541;0.7101477887;0.5248110327;199568.875;240191.796875;82454.3828125
;TH;2002;p88p100;621126.48768;750310.023837;361561.354169;391702.705277;2.9143769741;2.9244885445;4.0457878113;2.3240573406;168542.609375;0.574393798;0.5809404577;0.696368418;0.5071670661;213124.96875;256561.109375;89367.3515625
;TH;2002;p89p100;657535.380448;794366.553209;385962.916356;411497.147386;2.8774552345;2.8857097626;3.9759492874;2.2911810875;179600.453125;0.5573913918;0.5637976523;0.6814187518;0.4883967227;228512.8125;275275.96875;97074.40625
;TH;2002;p91p100;748567.685754;904598.095906;448111.626716;460203.806847;2.7656650543;2.7849800587;3.8366475105;2.2322731018;206159.265625;0.5191848737;0.525300491;0.6472984066;0.4468954606;270664.625;324813.125;116797.703125
;TH;2002;p92p100;806534.63745;975044.514683;488723.249829;490954.063081;2.6893029213;2.7211956978;3.756870985;2.2040574551;222750.125;0.4972347317;0.5032966717;0.6275217791;0.4237835283;299904.71875;358314.75;130087.84375
;TH;2002;p93p100;876510.858574;1060357.18617;538832.247472;527867.655604;2.6218397617;2.6603507996;3.6804783344;2.1709971428;243145.265625;0.4728286532;0.4789165574;0.6053791166;0.3986908962;334311.375;398577.96875;146402.78125
;TH;2002;p94p100;963680.308984;1166783.59957;602603.772922;573234.907851;2.5802321434;2.6139988899;3.6119110584;2.1280593872;269369.78125;0.4455871741;0.4517011481;0.5803084749;0.3711052572;373485.90625;446359.65625;166837.9375
;TH;2002;p95p100;1077302.92689;1305349.48521;687180.438812;630684.187634;2.5696051121;2.5932381153;3.5388727188;2.0721609592;304360.625;0.4151033996;0.4211205498;0.5514632919;0.340247681;419248.4375;503366.59375;194180.609375
;TH;2002;p96p100;1234586.1141;1496970.88728;805701.919557;707902.805516;2.5710470676;2.5838899612;3.4097719193;2.1162214279;334512.625;0.3805658596;0.3863518301;0.5172615607;0.3055250697;480188.0625;579347.75;236292.03125
;TH;2002;p97p100;1474037.97701;1785803.73246;983048.426037;827652.900445;2.6490609646;2.5836908817;3.2023770809;2.2096338272;374565.625;0.3407833545;0.3456723237;0.4733386667;0.2679061745;556437.9375;691183.1875;306974.59375
;TH;2002;p98p100;1891900.58157;2282356.70462;1302474.701;1009443.17426;2.5455670357;2.4713311195;3.1540932655;1.9852795601;508464.0;0.2915927706;0.2945256642;0.4180951294;0.2178337151;743213.8125;923533.375;412947.4375
;TH;2002;p0p90;66453.8674125;78294.4148662;23181.3280013;54747.1710514;;;;;0.0;0.4609047842;0.4546559932;0.334854884;0.5316397183;0.0;0.0;0.0
;TH;2002;p0p99;102156.728986;122031.33199;42244.8209562;79366.6478769;;;;;0.0;0.7793824446;0.7795000983;0.6712502873;0.8477864273;0.0;0.0;0.0
;TH;2002;p99.1p100;3047743.2394;3630632.29688;2188111.52962;1486568.36956;2.4619076252;2.3484253883;2.702246666;2.0099833012;739592.375;0.211382647;0.2108309687;0.3160732777;0.1443579228;1237960.0;1545985.875;809737.875
;TH;2002;p99.1p99.2;1281248.53068;1598009.4876;833808.81926;754582.185632;;;;;739592.375;0.0098737432;0.0103107197;0.0133826556;0.0081417877;1237960.0;1545985.875;809737.875
;TH;2002;p99.2p100;3268555.07161;3884710.15668;2357399.36516;1578066.64502;2.4644784927;2.3490812778;2.7130203247;2.0440249443;772038.8125;0.2015089035;0.2005202494;0.3026906218;0.1362161353;1326266.375;1653714.625;868920.625
;TH;2002;p99.2p99.3;1375008.18855;1715779.25643;908147.201901;796109.773245;;;;;772038.8125;0.0105962874;0.011070597;0.0145757888;0.0085898619;1326266.375;1653714.625;868920.625
;TH;2002;p99.3p100;3539061.76784;4194557.43625;2564435.38881;1689774.76838;2.4816720486;2.3537793159;2.7120888233;2.0497877598;824365.75;0.190912616;0.1894496528;0.288114833;0.1276262733;1426079.5;1782052.125;945557.3125
;TH;2002;p99.3p99.4;1484683.12978;1863717.50403;988504.122572;862560.680531;;;;;824365.75;0.0114414804;0.0120251281;0.0158655196;0.0093068536;1426079.5;1782052.125;945557.3125
;TH;2002;p99.4p100;3881458.2173;4583030.7523;2827090.60696;1827643.78901;2.5055434704;2.3492152691;2.6862154007;2.0166358948;906283.5;0.179471136;0.1774245244;0.2722493141;0.11831942;1549148.25;1950877.25;1052443.75
;TH;2002;p99.4p99.5;1628175.55557;2055389.85535;1103947.87646;961477.123102;;;;;906283.5;0.0125472825;0.0132618416;0.0177183952;0.0103741419;1549148.25;1950877.25;1052443.75
;TH;2002;p99.5p100;4332114.75902;5088558.94242;3171719.14985;2000877.12629;2.5248095989;2.3435497284;2.702088356;1.9568631649;1022492.125;0.1669238539;0.1641626832;0.2545309186;0.1079452784;1715818.375;2171304.0;1173802.875
;TH;2002;p99.5p99.6;1825209.62285;2311328.71074;1263992.44333;1095007.22547;;;;;1022492.125;0.014065695;0.0149132172;0.0202871151;0.0118149044;1715818.375;2171304.0;1173802.875
;TH;2002;p99.6p100;4958841.03883;5782866.51687;3648650.826;2227344.59233;2.544270277;2.3413722515;2.6670968533;1.898630619;1173132.125;0.1528581588;0.1492494664;0.2342438035;0.0961303736;1949022.875;2469862.0;1368023.375
;TH;2002;p99.6p99.7;2118045.25324;2678561.60853;1451882.86691;1262960.31752;;;;;1173132.125;0.0163223874;0.0172826871;0.0233027618;0.013627084;1949022.875;2469862.0;1368023.375
;TH;2002;p99.7p100;5905772.95503;6817634.79415;4380906.80961;2548806.02488;2.5407810211;2.3267173767;2.762773037;1.8739774227;1360105.0;0.1365357711;0.1319667788;0.2109410415;0.0825032899;2324392.75;2930151.75;1585691.875
;TH;2002;p99.7p99.8;2640020.81711;3310383.44494;1856446.69431;1485303.76341;;;;;1360105.0;0.0203449111;0.0213593449;0.0297960229;0.0160261244;2324392.75;2930151.75;1585691.875
;TH;2002;p99.8p100;7538649.01165;8571260.46626;5643136.86348;3080557.18072;2.484215498;2.2751133442;2.5799696445;1.8814655542;1637317.875;0.1161908598;0.1106074338;0.1811450184;0.0664771661;3034619.5;3767399.25;2187288.0
;TH;2002;p99.8p99.9;3781953.90892;4617388.67668;2742439.83186;1914790.21643;;;;;1637317.875;0.0291450415;0.0297924392;0.0440162383;0.0206601955;3034619.5;3767399.25;2187288.0
;TH;2002;p99.91p100;11989760.5886;13243592.9829;9073971.44501;4449334.73056;2.2951159477;2.1150004864;2.3326454163;1.7796183825;2500162.25;0.0831575081;0.0769055996;0.1310737528;0.043206672;5224032.5;6261745.0;3889991.75
;TH;2002;p99.91p99.92;5422971.49675;6484240.40691;4015423.7288;2594950.72457;;;;;2500162.25;0.0041791289;0.004183779;0.0064447667;0.0027998989;5224032.5;6261745.0;3889991.75
;TH;2002;p99.92p100;12810609.1895;14088512.0149;9706289.91407;4681132.7427;2.2739310265;2.0973813534;2.3415865898;1.7350071669;2698048.0;0.0789783789;0.0727218204;0.1246289862;0.0404067733;5633684.0;6717191.5;4145176.5
;TH;2002;p99.92p99.93;5872005.74824;6982344.06396;4284389.78587;2821494.69601;;;;;2698048.0;0.0045251702;0.0045051668;0.0068764579;0.0030443352;5633684.0;6717191.5;4145176.5
;TH;2002;p99.93p100;13801838.2238;15103678.8634;10480847.0761;4946795.3164;2.2527828217;2.078799963;2.3665111065;1.6726882458;2957392.25;0.0744532086;0.0682166536;0.1177525282;0.037362438;6126573.0;7265575.5;4428818.0
;TH;2002;p99.93p99.94;6419087.34439;7585014.30581;4585156.24488;3123900.59912;;;;;2957392.25;0.0049467701;0.0048940233;0.007359189;0.003370625;6126573.0;7265575.5;4428818.0
;TH;2002;p99.94p100;15032296.6732;16356789.6528;11463462.218;5250611.10034;2.2323889732;2.0645320415;2.4141004086;1.5868371725;3308853.0;0.0695064383;0.0633226304;0.1103933393;0.0339918131;6733726.5;7922759.0;4748544.0
;TH;2002;p99.94p99.95;7101483.83554;8323747.83952;4930229.49799;3537193.38525;;;;;3308853.0;0.0054726484;0.0053706709;0.0079130325;0.0038165594;6733726.5;7922759.0;4748544.0
;TH;2002;p99.95p100;16618459.1819;17963398.063;12770108.7065;5593294.64648;2.2153158188;2.0511448383;2.4920043945;1.4757531881;3790128.75;0.0640337897;0.0579519596;0.1024803063;0.0301752536;7501621.0;8757742.0;5124432.5
;TH;2002;p99.95p99.96;7985673.15953;9276737.21427;5358499.01099;4093739.93151;;;;;3790128.75;0.0061540352;0.0059855613;0.0086004063;0.0044170618;7501621.0;8757742.0;5124432.5
;TH;2002;p99.96p100;18776655.6675;20135063.3233;14623011.1405;5968183.29735;2.2023808956;2.0428180695;2.5994932652;1.3502821922;4419952.5;0.0578797544;0.0519663985;0.0938799;0.0257581917;8525617.0;9856513.0;5625331.5
;TH;2002;p99.96p99.97;9227830.37142;10590186.4174;6020659.46914;4761014.1094;;;;;4419952.5;0.0071112844;0.0068330285;0.0096631758;0.005137037;8525617.0;9856513.0;5625331.5
;TH;2002;p99.97p100;21959597.485;23316688.9792;17490461.6345;6370573.04722;2.1867492199;2.0371725559;2.676107645;1.2541235685;5079701.0;0.0507684701;0.04513337;0.0842167239;0.0206211548;10042120.0;11445613.0;6535784.0
;TH;2002;p99.97p99.98;11186954.2215;12630674.625;7497259.18663;5296872.21496;;;;;5079701.0;0.0086210528;0.0081495978;0.0120331226;0.005715217;10042120.0;11445613.0;6535784.0
;TH;2002;p99.98p100;27345918.9998;28659696.4839;22487062.9003;6907423.55344;2.1686201096;2.0326833725;2.5532639027;1.2592325211;5485423.5;0.0421474171;0.0369837726;0.0721836015;0.014905938;12609825.0;14099439.0;8807183.0
;TH;2002;p99.98p99.99;15137126.0275;16651641.1601;11032581.7675;6083963.4387;;;;;5485423.5;0.0116651915;0.0107440166;0.0177073255;0.0065644723;12609825.0;14099439.0;8807183.0
;TH;2002;p99.991p100;41784110.3529;42851997.3712;36102389.7798;7795254.58612;2.0796985626;1.9832115173;2.4053838253;1.0762770176;7242796.0;0.0289802492;0.0248841727;0.0521499956;0.0075698285;20091426.0;21607376.0;15008994.0
;TH;2002;p99.991p99.992;20762290.0731;22273985.9636;15586290.7;7328288.42866;;;;;7242796.0;0.0016000137;0.0014371681;0.0025016041;0.0007907074;20091426.0;21607376.0;15008994.0
;TH;2002;p99.992p100;44411837.8374;45424248.7749;38666902.1926;7853625.34857;2.0682518482;1.9766777754;2.3869242668;1.0597424507;7410881.5;0.0273802354;0.0234470046;0.0496483915;0.0067791211;21473128.0;22980098.0;16199468.0
;TH;2002;p99.992p99.993;22277203.1532;23778301.5885;16896660.6613;7487633.16226;;;;;7410881.5;0.0017167581;0.00153423;0.0027119189;0.0008079003;21473128.0;22980098.0;16199468.0
;TH;2002;p99.993p100;47573928.4755;48516526.9805;41776936.7932;7905909.96018;2.0562899113;1.9697873592;2.3678805828;1.0455559492;7561441.0;0.0256634773;0.0219127747;0.0469364727;0.0059712208;23135808.0;24630338.0;17643178.0
;TH;2002;p99.993p99.994;24124421.3265;25610652.5813;18507826.9651;7629312.96608;;;;;7561441.0;0.0018591111;0.0016524574;0.0029705116;0.0008231873;23135808.0;24630338.0;17643178.0
;TH;2002;p99.994p100;51482179.5642;52334172.6158;45655121.7733;7952009.46105;2.0436873436;1.9624567032;2.3480949402;1.0335083008;7694190.0;0.0238043661;0.0202603172;0.0439659612;0.0051480335;25190830.0;26667682.0;19443474.0
;TH;2002;p99.994p99.995;26448232.1003;27912928.208;20554339.3701;7753019.26357;;;;;7694190.0;0.002038192;0.0018010054;0.0032989774;0.0008365349;25190830.0;26667682.0;19443474.0
;TH;2002;p99.995p100;56488969.243;57218421.5253;50675278.2177;7991807.47436;2.0302622318;1.9545658827;2.3273422718;1.0234370232;7808793.0;0.0217661742;0.0184593118;0.0406669838;0.0043114985;27823484.0;29274236.0;21773884.0
;TH;2002;p99.995p99.996;29500219.3859;30932210.0389;23273204.5396;7858384.13648;;;;;7808793.0;0.0022733887;0.0019958164;0.003735356;0.0008479036;27823484.0;29274236.0;21773884.0
;TH;2002;p99.996p100;63236156.8968;63789974.0557;57525796.7794;8025163.26552;2.015734911;1.9459290504;2.3052766323;1.0152208805;7904845.0;0.0194927856;0.0164634953;0.0369316278;0.0034635949;31371266.0;32781244.0;24953968.0
;TH;2002;p99.996p99.997;33771246.8235;35149822.0592;27132595.4606;7944953.89096;;;;;7904845.0;0.0026025288;0.0022679463;0.0043547894;0.0008572443;31371266.0;32781244.0;24953968.0
