Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Average | Adults | constant 2015 local currency;Personal bonds & loans | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Net personal wealth | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;RU;1991;p41p100;604114.193535;;;;;;;;;;;;;;;;;;;;;;;;766610.633179;1.67877447605;;1.68984174728;;;;;;;;;;;;0.7837127293;;0.7850148726;359854.28125;;453658.25
;RU;1991;p42p100;608294.174951;;;;;;;;;;;;;;;;;;;;;;;;771966.356682;1.67320549488;;1.68418931961;;;;;;;;;;;;0.7757602112;;0.7771008815;363550.1875;;458360.78125
;RU;1991;p43p100;612553.027156;;;;;;;;;;;;;;;;;;;;;;;;777423.839335;1.66640543938;;1.67731142044;;;;;;;;;;;;0.7677227243;;0.7691016516;367589.4375;;463494.03125
;RU;1991;p44p100;616888.505017;;;;;;;;;;;;;;;;;;;;;;;;782980.395994;1.65826010704;;1.66910040379;;;;;;;;;;;;0.7595923013;;0.761009275;372009.5;;469103.21875
;RU;1991;p45p100;621297.549999;;;;;;;;;;;;;;;;;;;;;;;;788632.367063;1.6486852169;;1.65947258472;;;;;;;;;;;;0.751360189;;0.7528150995;376844.25;;475230.71875
;RU;1991;p46p100;625776.301084;;;;;;;;;;;;;;;;;;;;;;;;794375.034318;1.63764297962;;1.64833772182;;;;;;;;;;;;0.7430169502;;0.7445097351;382120.09375;;481924.9375
;RU;1991;p47p100;630320.427643;;;;;;;;;;;;;;;;;;;;;;;;800203.175782;1.62528026104;;1.63594150543;;;;;;;;;;;;0.73455294;;0.7360836558;387822.59375;;489139.25
;RU;1991;p48p100;634925.922202;;;;;;;;;;;;;;;;;;;;;;;;806111.906176;1.61187028885;;1.62248361111;;;;;;;;;;;;0.725959264;;0.7275280021;393906.34375;;496838.25
;RU;1991;p49p100;639589.40068;;;;;;;;;;;;;;;;;;;;;;;;812097.132867;1.59768891335;;1.60826873779;;;;;;;;;;;;0.7172280792;;0.7188349553;400321.625;;504951.15625
;RU;1991;p50p100;644308.238349;;;;;;;;;;;;;;;;;;;;;;;;818155.767614;1.58300793171;;1.59350013733;;;;;;;;;;;;0.7083526751;;0.7099978523;407015.15625;;513433.125
;RU;1991;p51p100;649080.720881;;;;;;;;;;;;;;;;;;;;;;;;824285.86511;1.56809294224;;1.57853758335;;;;;;;;;;;;0.699327553;;0.7010112167;413930.0;;522183.25
;RU;1991;p52p100;653906.212563;;;;;;;;;;;;;;;;;;;;;;;;830486.84845;1.55319976807;;1.56362974644;;;;;;;;;;;;0.6901485033;;0.6918708467;421005.875;;531127.5625
;RU;1991;p53p100;658785.342462;;;;;;;;;;;;;;;;;;;;;;;;836759.67952;1.53857421875;;1.5489563942;;;;;;;;;;;;0.6808126794;;0.6825738361;428179.125;;540208.6875
;RU;1991;p54p100;663720.209064;;;;;;;;;;;;;;;;;;;;;;;;843107.31995;1.52445030212;;1.53478419781;;;;;;;;;;;;0.6713186656;;0.6731188086;435383.3125;;549332.8125
;RU;1991;p55p100;668714.603572;;;;;;;;;;;;;;;;;;;;;;;;849534.766832;1.51105070114;;1.52135133743;;;;;;;;;;;;0.6616665365;;0.6635057717;442549.40625;;558408.0
;RU;1991;p56p100;673774.25153;;;;;;;;;;;;;;;;;;;;;;;;856049.489402;1.49858605862;;1.50888133049;;;;;;;;;;;;0.6518579048;;0.653736274;449606.65625;;567340.5
;RU;1991;p57p100;678907.071714;;;;;;;;;;;;;;;;;;;;;;;;862661.765606;1.48725533485;;1.49753594398;;;;;;;;;;;;0.6418959531;;0.6438134419;456483.1875;;576054.125
;RU;1991;p58p100;684123.450128;;;;;;;;;;;;;;;;;;;;;;;;869384.94701;1.47724664211;;1.48751342297;;;;;;;;;;;;0.6317854462;;0.6337419285;463107.125;;584455.1875
;RU;1991;p59p100;689436.525461;;;;;;;;;;;;;;;;;;;;;;;;876236.014918;1.46873617172;;1.47899162769;;;;;;;;;;;;0.6215327168;;0.6235280431;469408.0;;592455.0
;RU;1991;p60p100;694862.480132;;;;;;;;;;;;;;;;;;;;;;;;883235.684086;1.46188914776;;1.47216188908;;;;;;;;;;;;0.6111456193;;0.613179508;475318.1875;;599958.25
;RU;1991;p61p100;700420.827989;;;;;;;;;;;;;;;;;;;;;;;;890408.907975;1.45685696602;;1.46713805199;;;;;;;;;;;;0.6006334413;;0.6027054763;480775.28125;;606901.9375
;RU;1991;p62p100;706134.55037;;;;;;;;;;;;;;;;;;;;;;;;897784.965022;1.45371043682;;1.46400439739;;;;;;;;;;;;0.5900066516;;0.5921162215;485746.375;;613239.25
;RU;1991;p63p100;712028.503098;;;;;;;;;;;;;;;;;;;;;;;;905395.411796;1.45219349861;;1.46247887611;;;;;;;;;;;;0.5792752227;;0.5814214472;490312.40625;;619082.75
;RU;1991;p64p100;718127.332934;;;;;;;;;;;;;;;;;;;;;;;;913271.543091;1.45196223259;;1.46221983433;;;;;;;;;;;;0.5684467755;;0.5706285027;494590.90625;;624578.8125
;RU;1991;p65p100;724455.10476;;;;;;;;;;;;;;;;;;;;;;;;921444.14054;1.45268177986;;1.46292328835;;;;;;;;;;;;0.5575263153;;0.5597422529;498701.84375;;629865.0
;RU;1991;p66p100;731035.180497;;;;;;;;;;;;;;;;;;;;;;;;929943.007106;1.45402932167;;1.46422147751;;;;;;;;;;;;0.5465162053;;0.5487648483;502765.09375;;635110.875
;RU;1991;p67p100;737890.168789;;;;;;;;;;;;;;;;;;;;;;;;938797.167952;1.45570123196;;1.46588170528;;;;;;;;;;;;0.5354162076;;0.5376959249;506896.71875;;640431.75
;RU;1991;p68p100;745041.996663;;;;;;;;;;;;;;;;;;;;;;;;948034.995047;1.45742547512;;1.46757555008;;;;;;;;;;;;0.524223616;;0.5265327407;511204.1875;;645987.1875
;RU;1991;p69p100;752512.180694;;;;;;;;;;;;;;;;;;;;;;;;957684.566628;1.45898008347;;1.46911847591;;;;;;;;;;;;0.512933516;;0.5152704261;515779.59375;;651877.0
;RU;1991;p70p100;760322.41399;;;;;;;;;;;;;;;;;;;;;;;;967774.280857;1.46021914482;;1.47036981583;;;;;;;;;;;;0.5015392173;;0.5039023287;520690.625;;658184.25
;RU;1991;p71p100;768495.642326;;;;;;;;;;;;;;;;;;;;;;;;978334.325913;1.46110701561;;1.47127425671;;;;;;;;;;;;0.4900329202;;0.4924207256;525968.0625;;664957.125
;RU;1991;p72p100;777057.887038;;;;;;;;;;;;;;;;;;;;;;;;989398.835554;1.46176373959;;1.47196757793;;;;;;;;;;;;0.4784067006;;0.4808177155;531589.25;;672160.75
;RU;1991;p73p100;786041.197267;;;;;;;;;;;;;;;;;;;;;;;;1001009.72703;1.46252417564;;1.47277998924;;;;;;;;;;;;0.4666539242;;0.4690866747;537455.1875;;679673.625
;RU;1991;p74p100;795488.287956;;;;;;;;;;;;;;;;;;;;;;;;1013222.70832;1.46400654316;;1.47430348396;;;;;;;;;;;;0.4547712354;;0.4572242929;543363.875;;687255.1875
;RU;1991;p75p100;805456.810075;;;;;;;;;;;;;;;;;;;;;;;;1026111.53867;1.46666514874;;1.47698581219;;;;;;;;;;;;0.4427597322;;0.4452312246;549175.6875;;694733.5
;RU;1991;p76p100;816014.525851;;;;;;;;;;;;;;;;;;;;;;;;1039763.01409;1.47036445141;;1.48068487644;;;;;;;;;;;;0.4306207778;;0.4331084341;554974.3125;;702217.625
;RU;1991;p77p100;827236.525447;;;;;;;;;;;;;;;;;;;;;;;;1054273.72563;1.47492265701;;1.48521924019;;;;;;;;;;;;0.4183534815;;0.4208547698;560867.75;;709843.8125
;RU;1991;p78p100;839206.596571;;;;;;;;;;;;;;;;;;;;;;;;1069751.79412;1.48017323017;;1.49048256874;;;;;;;;;;;;0.4059545556;;0.4084667771;566965.125;;717721.75
;RU;1991;p79p100;852019.381716;;;;;;;;;;;;;;;;;;;;;;;;1086319.43716;1.48598432541;;1.49628400803;;;;;;;;;;;;0.3934183554;;0.3959386331;573370.375;;726011.5
;RU;1991;p80p100;865783.616101;;;;;;;;;;;;;;;;;;;;;;;;1104117.37254;1.49229109287;;1.50261521339;;;;;;;;;;;;0.3807371094;;0.3832624516;580170.75;;734797.125
;RU;1991;p81p100;880627.126477;;;;;;;;;;;;;;;;;;;;;;;;1123311.06155;1.49914491177;;1.50950133801;;;;;;;;;;;;0.3679014587;;0.370428737;587419.625;;744160.375
;RU;1991;p82p100;896704.743059;;;;;;;;;;;;;;;;;;;;;;;;1144100.993;1.50679266453;;1.51714587212;;;;;;;;;;;;0.3549014892;;0.3574274494;595108.25;;754114.0625
;RU;1991;p83p100;914211.104936;;;;;;;;;;;;;;;;;;;;;;;;1166738.90797;1.51579761505;;1.52623033524;;;;;;;;;;;;0.3417285496;;0.3442497524;603122.125;;764457.9375
;RU;1991;p84p100;933398.550246;;;;;;;;;;;;;;;;;;;;;;;;1191549.49151;1.52679669857;;1.53720831871;;;;;;;;;;;;0.3283771689;;0.3308895889;611344.375;;775138.5625
;RU;1991;p85p100;954585.662291;;;;;;;;;;;;;;;;;;;;;;;;1218942.24967;1.53987205029;;1.55027282238;;;;;;;;;;;;0.3148415311;;0.3173404431;619912.3125;;786275.9375
;RU;1991;p86p100;978169.593009;;;;;;;;;;;;;;;;;;;;;;;;1249428.87495;1.55508470535;;1.56547021866;;;;;;;;;;;;0.3011119863;;0.3035921995;629013.6875;;798117.3125
;RU;1991;p87p100;1004655.22752;;;;;;;;;;;;;;;;;;;;;;;;1283659.37729;1.57264268398;;1.58298027515;;;;;;;;;;;;0.2871747491;;0.2896304269;638832.5;;810913.0625
;RU;1991;p88p100;1034701.83436;;;;;;;;;;;;;;;;;;;;;;;;1322483.44574;1.5930519104;;1.60337114334;;;;;;;;;;;;0.2730123635;;0.2754371556;649509.1875;;824814.3125
;RU;1991;p89p100;1069200.59681;;;;;;;;;;;;;;;;;;;;;;;;1367049.14133;1.6174145937;;1.62764942646;;;;;;;;;;;;0.2586054822;;0.260992391;661055.375;;839891.625
;RU;1991;p91p100;1157148.27132;;;;;;;;;;;;;;;;;;;;;;;;1480593.75596;1.6858894825;;1.69579172134;;;;;;;;;;;;0.2289904497;;0.2312754088;686372.5625;;873098.8125
;RU;1991;p92p100;1215107.17837;;;;;;;;;;;;;;;;;;;;;;;;1555357.71384;1.7335793972;;1.74300169945;;;;;;;;;;;;0.2137422728;;0.2159590005;700923.875;;892344.375
;RU;1991;p93p100;1287348.75014;;;;;;;;;;;;;;;;;;;;;;;;1648472.57371;1.79123282433;;1.80002498627;;;;;;;;;;;;0.1981436256;;0.2002768723;718694.25;;915805.375
;RU;1991;p94p100;1380232.26443;;;;;;;;;;;;;;;;;;;;;;;;1768105.57171;1.85892522335;;1.86702823639;;;;;;;;;;;;0.1820913331;;0.1841240324;742489.375;;947016.0
;RU;1991;p95p100;1504756.53512;;;;;;;;;;;;;;;;;;;;;;;;1928366.15539;1.94306826591;;1.95006537437;;;;;;;;;;;;0.1654329797;;0.1673441517;774422.875;;988872.5625
;RU;1991;p96p100;1682025.51193;;;;;;;;;;;;;;;;;;;;;;;;2156296.69008;2.05154490471;;2.05701899529;;;;;;;;;;;;0.1479375492;;0.1496992215;819882.375;;1048262.9375
;RU;1991;p97p100;1958572.75909;;;;;;;;;;;;;;;;;;;;;;;;2511491.67451;2.19866418839;;2.20149469376;;;;;;;;;;;;0.1291953296;;0.1307687679;890801.1875;;1140812.0
;RU;1991;p98p100;2463864.56524;;;;;;;;;;;;;;;;;;;;;;;;3159571.39405;2.41465353966;;2.41263842583;;;;;;;;;;;;0.1083509384;;0.109675394;1020380.125;;1309591.75
;RU;1991;p0p90;382058.388208;;;;;;;;;;;;;;;;;;;;;;;;482522.787973;;;;;;;;;;;;;;;0.7560631968;;0.7537223132;1082.47546387;;1066.84436035
;RU;1991;p0p99;421277.208181;;;;;;;;;;;;;;;;;;;;;;;;533149.859533;;;;;;;;;;;;;;;0.9170415383;;0.9160844854;1082.47546387;;1066.84436035
;RU;1991;p99.1p100;4037774.43801;;;;;;;;;;;;;;;;;;;;;;;;5173422.17901;2.83554601669;;2.82201194763;;;;;;;;;;;;0.0799043482;;0.080811183;1423984.75;;1833239.0
;RU;1991;p99.1p99.2;1463812.13757;;;;;;;;;;;;;;;;;;;;;;;;1884906.25051;;;;;;;;;;;;;;;0.003218631;;0.0032714538;1423984.75;;1833239.0
;RU;1991;p99.2p100;4359519.73104;;;;;;;;;;;;;;;;;;;;;;;;5584486.67511;2.89388680458;;2.87840414047;;;;;;;;;;;;0.0766857173;;0.0775397293;1506458.25;;1940133.0
;RU;1991;p99.2p99.3;1555792.81701;;;;;;;;;;;;;;;;;;;;;;;;2004071.93474;;;;;;;;;;;;;;;0.0034208782;;0.0034782784;1506458.25;;1940133.0
;RU;1991;p99.3p100;4760052.15327;;;;;;;;;;;;;;;;;;;;;;;;6095974.49752;2.95819759369;;2.94060206413;;;;;;;;;;;;0.0732648392;;0.0740614509;1609105.5;;2073036.125
;RU;1991;p99.3p99.4;1672092.36872;;;;;;;;;;;;;;;;;;;;;;;;2154626.59306;;;;;;;;;;;;;;;0.0036765977;;0.0037395819;1609105.5;;2073036.125
;RU;1991;p99.4p100;5274712.11614;;;;;;;;;;;;;;;;;;;;;;;;6752865.82102;3.02973437309;;3.00968384743;;;;;;;;;;;;0.0695882414;;0.0703218691;1740981.75;;2243712.75
;RU;1991;p99.4p99.5;1824703.8759;;;;;;;;;;;;;;;;;;;;;;;;2352079.11665;;;;;;;;;;;;;;;0.00401216;;0.0040822816;1740981.75;;2243712.75
;RU;1991;p99.5p100;5964713.77021;;;;;;;;;;;;;;;;;;;;;;;;7633023.15101;3.11020159721;;3.08714914322;;;;;;;;;;;;0.0655760815;;0.0662395874;1917790.125;;2472515.25
;RU;1991;p99.5p99.6;2035518.26268;;;;;;;;;;;;;;;;;;;;;;;;2624686.4909;;;;;;;;;;;;;;;0.0044756988;;0.0045554205;1917790.125;;2472515.25
;RU;1991;p99.6p100;6947012.64654;;;;;;;;;;;;;;;;;;;;;;;;8885107.30767;3.20201849937;;3.17592215538;;;;;;;;;;;;0.0611003827;;0.0616841668;2169573.0;;2797646.5
;RU;1991;p99.6p99.7;2349686.63887;;;;;;;;;;;;;;;;;;;;;;;;3030716.0207;;;;;;;;;;;;;;;0.0051664924;;0.0052601276;2169573.0;;2797646.5
;RU;1991;p99.7p100;8479454.64906;;;;;;;;;;;;;;;;;;;;;;;;10836571.1027;3.30886173248;;3.27865147591;;;;;;;;;;;;0.0559338903;;0.0564240394;2562650.0;;3305191.5
;RU;1991;p99.7p99.8;2879878.33483;;;;;;;;;;;;;;;;;;;;;;;;3715443.31269;;;;;;;;;;;;;;;0.0063322783;;0.0064485441;2562650.0;;3305191.5
;RU;1991;p99.8p100;11279242.816;;;;;;;;;;;;;;;;;;;;;;;;14397135.0032;3.43717241287;;3.40069580078;;;;;;;;;;;;0.0496016121;;0.0499754953;3281547.0;;4233585.0
;RU;1991;p99.8p99.9;4027042.68562;;;;;;;;;;;;;;;;;;;;;;;;5196326.50768;;;;;;;;;;;;;;;0.0088546639;;0.0090187732;3281547.0;;4233585.0
;RU;1991;p99.91p100;19999115.6954;;;;;;;;;;;;;;;;;;;;;;;;25456979.3479;3.62609243393;;3.57797408104;;;;;;;;;;;;0.0395766611;;0.0397649476;5515335.5;;7114914.5
;RU;1991;p99.91p99.92;5734789.32801;;;;;;;;;;;;;;;;;;;;;;;;7397923.13845;;;;;;;;;;;;;;;0.0012609658;;0.0012839877;5515335.5;;7114914.5
;RU;1991;p99.92p100;21782156.494;;;;;;;;;;;;;;;;;;;;;;;;27714361.3691;3.64876627922;;3.59877181053;;;;;;;;;;;;0.0383156953;;0.0384809599;5969732.0;;7701061.0
;RU;1991;p99.92p99.93;6241503.44647;;;;;;;;;;;;;;;;;;;;;;;;8051462.00989;;;;;;;;;;;;;;;0.0013723822;;0.0013974162;5969732.0;;7701061.0
;RU;1991;p99.93p100;24002249.8037;;;;;;;;;;;;;;;;;;;;;;;;30523346.9894;3.67274928093;;3.62074017525;;;;;;;;;;;;0.0369433131;;0.0370835437;6535227.0;;8430140.0
;RU;1991;p99.93p99.94;6882460.99702;;;;;;;;;;;;;;;;;;;;;;;;8877592.95109;;;;;;;;;;;;;;;0.0015133159;;0.0015408;6535227.0;;8430140.0
;RU;1991;p99.94p100;26855547.9512;;;;;;;;;;;;;;;;;;;;;;;;34130972.6897;3.69787883759;;3.64365410805;;;;;;;;;;;;0.0354299972;;0.0355427437;7262419.5;;9367237.0
;RU;1991;p99.94p99.95;7724827.37527;;;;;;;;;;;;;;;;;;;;;;;;9963273.01867;;;;;;;;;;;;;;;0.0016985355;;0.0017292312;7262419.5;;9367237.0
;RU;1991;p99.95p100;30681692.1136;;;;;;;;;;;;;;;;;;;;;;;;38964512.6292;3.72377157211;;3.66647458076;;;;;;;;;;;;0.0337314617;;0.0338135125;8239413.0;;10627242.0
;RU;1991;p99.95p99.96;8891662.98739;;;;;;;;;;;;;;;;;;;;;;;;11466500.8275;;;;;;;;;;;;;;;0.0019550994;;0.0019901323;8239413.0;;10627242.0
;RU;1991;p99.96p100;36129199.2671;;;;;;;;;;;;;;;;;;;;;;;;45839015.5454;3.74966001511;;3.68927454948;;;;;;;;;;;;0.0317763622;;0.0318233802;9635327.0;;12424940.0
;RU;1991;p99.96p99.97;10637387.2324;;;;;;;;;;;;;;;;;;;;;;;;13714767.5377;;;;;;;;;;;;;;;0.0023389494;;0.0023803427;9635327.0;;12424940.0
;RU;1991;p99.97p100;44626469.8797;;;;;;;;;;;;;;;;;;;;;;;;56547098.331;3.77424383163;;3.71011972427;;;;;;;;;;;;0.0294374128;;0.0294430376;11823950.0;;15241314.0
;RU;1991;p99.97p99.98;13595654.9682;;;;;;;;;;;;;;;;;;;;;;;;17522519.6677;;;;;;;;;;;;;;;0.0029894134;;0.0030412183;11823950.0;;15241314.0
;RU;1991;p99.98p100;60141877.5258;;;;;;;;;;;;;;;;;;;;;;;;76059387.5522;3.79685997963;;3.72679257393;;;;;;;;;;;;0.0264479994;;0.0264018193;15839899.0;;20408806.0
;RU;1991;p99.98p99.99;19981207.2458;;;;;;;;;;;;;;;;;;;;;;;;25733726.9191;;;;;;;;;;;;;;;0.0043934691;;0.00446636;15839899.0;;20408806.0
;RU;1991;p99.991p100;108436483.499;;;;;;;;;;;;;;;;;;;;;;;;136549900.311;3.85260558128;;3.76920056343;;;;;;;;;;;;0.0214587186;;0.021329709;28146272.0;;36227816.0
;RU;1991;p99.991p99.992;29341049.9803;;;;;;;;;;;;;;;;;;;;;;;;37760958.6304;;;;;;;;;;;;;;;0.0006451512;;0.0006553813;28146272.0;;36227816.0
;RU;1991;p99.992p100;118323412.77;;;;;;;;;;;;;;;;;;;;;;;;148898517.926;3.86415290833;;3.77895832062;;;;;;;;;;;;0.0208135674;;0.0206743277;30620790.0;;39402000.0
;RU;1991;p99.992p99.993;32102193.7206;;;;;;;;;;;;;;;;;;;;;;;;41304253.1033;;;;;;;;;;;;;;;0.0007058632;;0.0007168789;30620790.0;;39402000.0
;RU;1991;p99.993p100;130640729.762;;;;;;;;;;;;;;;;;;;;;;;;164269127.033;3.87616682053;;3.78809666634;;;;;;;;;;;;0.0201077042;;0.0199574488;33703588.0;;43364556.0
;RU;1991;p99.993p99.994;35596841.6722;;;;;;;;;;;;;;;;;;;;;;;;45787207.9098;;;;;;;;;;;;;;;0.0007827036;;0.0007946853;33703588.0;;43364556.0
;RU;1991;p99.994p100;146481377.584;;;;;;;;;;;;;;;;;;;;;;;;184016113.807;3.88872647285;;3.79852318764;;;;;;;;;;;;0.0193250006;;0.0191627635;37668212.0;;48444120.0
;RU;1991;p99.994p99.995;40187232.3861;;;;;;;;;;;;;;;;;;;;;;;;51672350.4525;;;;;;;;;;;;;;;0.0008836371;;0.0008968282;37668212.0;;48444120.0
;RU;1991;p99.995p100;167740206.387;;;;;;;;;;;;;;;;;;;;;;;;210484866.194;3.90194201469;;3.80894780159;;;;;;;;;;;;0.0184413634;;0.0182659353;42988904.0;;55260632.0
;RU;1991;p99.995p99.996;46534417.5983;;;;;;;;;;;;;;;;;;;;;;;;59803229.6456;;;;;;;;;;;;;;;0.0010231991;;0.0010379482;42988904.0;;55260632.0
;RU;1991;p99.996p100;198041653.272;;;;;;;;;;;;;;;;;;;;;;;;248155274.627;3.91597175598;;3.81934738159;;;;;;;;;;;;0.0174181644;;0.017227987;50572800.0;;64973212.0
;RU;1991;p99.996p99.997;56001795.1707;;;;;;;;;;;;;;;;;;;;;;;;71923316.2968;;;;;;;;;;;;;;;0.0012313678;;0.0012483051;50572800.0;;64973212.0
;RU;1991;p99.997p100;245388273.08;;;;;;;;;;;;;;;;;;;;;;;;306899261.119;3.93106842041;;3.8289308548;;;;;;;;;;;;0.0161867966;;0.015979682;62422792.0;;80152728.0
;RU;1991;p99.997p99.998;71994718.8006;;;;;;;;;;;;;;;;;;;;;;;;92375026.828;;;;;;;;;;;;;;;0.0015830203;;0.0016032661;62422792.0;;80152728.0
;RU;1991;p99.998p100;332085049.153;;;;;;;;;;;;;;;;;;;;;;;;414161378.85;3.94768810272;;3.83994626999;;;;;;;;;;;;0.0146037762;;0.0143764159;84121400.0;;107856032.0
;RU;1991;p99.998p99.999;106695840.97;;;;;;;;;;;;;;;;;;;;;;;;136699106.231;;;;;;;;;;;;;;;0.0023460288;;0.0023725573;84121400.0;;107856032.0
;RU;1991;p99.99p99.991;27097119.8654;;;;;;;;;;;;;;;;;;;;;;;;34901377.2791;;;;;;;;;;;;;;;0.0005958116;;0.0006057502;26110498.0;;33606220.0
;RU;1991;p99.9p99.91;5322389.1716;;;;;;;;;;;;;;;;;;;;;;;;6866623.31662;;;;;;;;;;;;;;;0.0011702873;;0.001191775;5140810.0;;6632588.0
;RU;1991;p99p99.1;1388990.6948;;;;;;;;;;;;;;;;;;;;;;;;1788614.2658;;;;;;;;;;;;;;;0.0030541136;;0.0031043289;1356073.0;;1745330.75
;RU;1990;p0p100;437167.311478;0.0;0.0;0.0;0.0;0.0;0.0;680099.0;;478846.28125;47701.4140625;33585.765625;463730.03125;326504.53125;416028.59375;292918.75;248726.75;175124.328125;0.0;0.0;0.0;0.0;0.0;0.0;549542.199491;415.569030762;;424.867523193;0.0;0.0;0.0;7.07088855345e+13;4.95944557828e+12;4.82133242917e+13;4.32538787134e+13;2.58597518093e+13;0.0;0.0;0.0;1.0;;1.0;1051.97277832;;1293.44360352
;RU;1990;p0p50;257803.364714;;;;;;;;;;;;;;;;;;;;;;;;323912.833565;;;;;;;;;;;;;;;0.294856634915;;0.294711519757;1051.97277832;;1293.44360352
;RU;1990;p50p90;513153.997967;;;;;;;;;;;;;;;;;;;;;;;;645012.343243;;;;;;;;;;;;;;;0.469526412;;0.4694906734;395545.9375;;497049.84375
;RU;1990;p90p99;788334.168126;;;;;;;;;;;;;;;;;;;;;;;;991870.153165;;;;;;;;;;;;;;;0.1622950137;;0.1624412388;654333.375;;822863.1875
;RU;1990;p99p100;3205394.88103;;;;;;;;;;;;;;;;;;;;;;;;4031254.45433;2.47974610329;;2.47677588463;;;;;;;;;;;;0.0733219244;;0.0733565946;1292630.25;;1627621.875
;RU;1990;p99.9p100;14268064.5426;;;;;;;;;;;;;;;;;;;;;;;;17910308.6477;3.14135336876;;3.13027882576;;;;;;;;;;;;0.0326375377;;0.0325913254;4542012.0;;5721633.5
;RU;1990;p99.99p100;70519681.0128;;;;;;;;;;;;;;;;;;;;;;;;88192383.0822;3.34779524803;;3.32307910919;;;;;;;;;;;;0.0161310508;;0.0160483368;21064514.0;;26539358.0
;RU;1990;p99.999p100;359544687.463;;;;;;;;;;;;;;;;;;;;;;;;446520012.504;3.46102261543;;3.41336989403;;;;;;;;;;;;0.0082244184;;0.0081253089;103883944.0;;130815008.0
;RU;1990;p0p10;36494.4604644;;;;;;;;;;;;;;;;;;;;;;;;45865.5277565;;;;;;;;;;;;;;;0.00834793899412;;0.00834613389088;1051.97277832;;1293.44360352
;RU;1990;p10p20;247298.391599;;;;;;;;;;;;;;;;;;;;;;;;310668.078846;;;;;;;;;;;;;;;0.0565683629829;;0.0565321606118;127883.109375;;160655.28125
;RU;1990;p20p30;304280.596125;;;;;;;;;;;;;;;;;;;;;;;;382283.096812;;;;;;;;;;;;;;;0.0696027786471;;0.069563920144;286607.6875;;360064.9375
;RU;1990;p30p40;333064.230689;;;;;;;;;;;;;;;;;;;;;;;;418482.527049;;;;;;;;;;;;;;;0.0761869019;;0.0761511177;320431.9375;;402590.9375
;RU;1990;p40p50;367879.144693;;;;;;;;;;;;;;;;;;;;;;;;462264.937362;;;;;;;;;;;;;;;0.0841506524;;0.0841181874;346417.0;;435280.5625
;RU;1990;p50p60;429633.749232;;;;;;;;;;;;;;;;;;;;;;;;539897.13253;;;;;;;;;;;;;;;0.0982767325;;0.0982448906;395545.9375;;497049.84375
